Series Name,CO2 emissions (kt),"Death rate, crude (per 1,000 people)","GDP per capita, PPP (constant 2011 international $)",New businesses registered (number),Researchers in R&D (per million people),"Unemployment, total (% of total labor force) (national estimate)",Refugee population by country or territory of asylum,Mobile cellular subscriptions (per 100 people),Individuals using the Internet (% of population),"Population, total",Scientific and technical journal articles,"Armed forces personnel, total",Rail lines (total route-km),"Fertility rate, total (births per woman)"
Series Code,EN.ATM.CO2E.KT,SP.DYN.CDRT.IN,NY.GDP.PCAP.PP.KD,IC.BUS.NREG,SP.POP.SCIE.RD.P6,SL.UEM.TOTL.NE.ZS,SM.POP.REFG,IT.CEL.SETS.P2,IT.NET.USER.ZS,SP.POP.TOTL,IP.JRN.ARTC.SC,MS.MIL.TOTL.P1,IS.RRS.TOTL.KM,SP.DYN.TFRT.IN
2012 [YR2012] - Australia [AUS],388126.281,6.6,42561.12067,185009,..,5.21999979,30083,105.585695,79,22728254,44488.9,56200,..,1.921
2012 [YR2012] - Argentina [ARG],192356.152,7.603,19224.8744,12385,1199.40405,7.340000153,3488,156.564756,55.8,42096739,8073.1,104350,25023,2.347
2012 [YR2012] - China [CHN],10028573.94,7.15,11145.75235,..,1035.87909,4.099999905,301037,80.76271455,42.30011749,1350695000,372038.4,2993000,66298,1.599
2012 [YR2012] - France [FRA],333227.624,8.7,37344.5371,121538,4073.40585,9.399999619,217865,97.37775287,81.44,65659790,72424.4,325600,30013,2.01
2012 [YR2012] - Germany [DEU],739861.254,10.8,42822.0994,69332,4379.07515,5.380000114,589737,111.5940398,82.34999847,80425823,101777.8,186450,33509,1.41
2012 [YR2012] - Indonesia [IDN],637078.911,7.079,9251.175537,47549,..,6.139999866,1819,114.218131,14.52,248883232,1992.1,676500,4684,2.455
2012 [YR2012] - Italy [ITA],369468.585,10.3,35227.62373,75645,1853.01357,10.64999962,64779,159.6276155,55.82999799,59539717,63310.5,359500,17060,1.43
2012 [YR2012] - Japan [JPN],1230168.49,10,36367.57518,91751,5083.74949,4.349999905,2581,110.9073543,79.4964,127629000,104313.9,259800,20140,1.41
2012 [YR2012] - Mexico [MEX],496324.783,4.736,16324.42937,68666,238.33682,4.809999943,1520,83.35070827,39.75,120828307,12462.8,329750,26704,2.295
2012 [YR2012] - Spain [ESP],264779.402,8.6,31107.48079,84399,2718.38425,24.79000092,4510,108.3640175,69.80999994,46773055,53644.8,215600,15665,1.32
2012 [YR2012] - South Africa [ZAF],468770.945,11.684,12329.63033,217624,404.6859,25.13999939,65233,130.557982,41,52506515.08,8955.4,62100,20500,2.554
2012 [YR2012] - United Kingdom [GBR],468572.927,8.9,36678.75436,537658,4029.27837,7.889999866,149799,124.7618169,87.47999842,63700300,96764.7,169150,16423,1.92
2012 [YR2012] - United States [USA],5119436.361,8.1,50519.52661,..,4015.88708,8.069999695,262023,96.01037609,74.7,313998379,414758.5,1492200,228218,1.8805
2012 [YR2012] - Canada [CAN],517457.704,7.1,41794.53892,25723,4634.31514,7.289999962,163756,79.56833775,83,34750545,58420.3,66000,52002,1.6142
2012 [YR2012] - India [IND],2018503.817,7.385,4827.559656,99587,..,2.529999971,185656,69.92238977,12.58006091,1263065852,88272.7,2728700,64460,2.475
2012 [YR2012] - Saudi Arabia [SAU],564842.678,3.543,49658.6527,..,..,5.519999981,577,187.3595577,54,29086357,6227.1,249000,1412,2.779
2012 [YR2012] - Russian Federation [RUS],1830830.424,13.3,24879.37908,442165,3093.56286,5.460000038,3178,145.3276296,63.8,143201676,33260.4,1364000,84249,1.691
"2012 [YR2012] - Korea, Rep. [KOR]",583966.083,5.3,31776.89703,73972,6361.60143,3.220000029,487,109.4316142,84.07,50199853,56897,659500,3650,1.297
2012 [YR2012] - Brazil [BRA],470028.726,5.927,15118.13845,53876,..,5.510000229,4689,125.0018521,48.56,200560983,47302.1,713480,29817,1.777
2012 [YR2012] - Turkey [TUR],329560.624,5.824,20282.02838,38823,1097.17206,8.149999619,267063,91.46374843,45.13,74569867,28329.2,612800,9642,2.124
2012 [YR2012] - Switzerland [CHE],37773.767,8,55908.01356,13730,4481.07378,4.190000057,50747,132.0563723,85.2,7996861,20613.6,22650,3551,1.52
